account,account,server,rss,url
Seirdy@pleroma.envs.net,Seirdy,pleroma.envs.net,https://pleroma.envs.net/@Seirdy.rss,https://pleroma.envs.net/@Seirdy
kissane@mas.to,kissane,mas.to,https://mas.to/@kissane.rss,https://mas.to/@kissane
julia@hcommons.social,julia,hcommons.social,https://hcommons.social/@julia.rss,https://hcommons.social/@julia
dilmandila@mograph.social,dilmandila,mograph.social,https://mograph.social/@dilmandila.rss,https://mograph.social/@dilmandila
Gray@calckey.social,Gray,calckey.social,https://calckey.social/@Gray.rss,https://calckey.social/@Gray
garyhall@hcommons.social,garyhall,hcommons.social,https://hcommons.social/@garyhall.rss,https://hcommons.social/@garyhall
Radical_EgoCom@kolektiva.social,Radical_EgoCom,kolektiva.social,https://kolektiva.social/@Radical_EgoCom.rss,https://kolektiva.social/@Radical_EgoCom
janboddez@indieweb.social,janboddez,indieweb.social,https://indieweb.social/@janboddez.rss,https://indieweb.social/@janboddez
rozina@post.lurk.org,rozina,post.lurk.org,https://post.lurk.org/@rozina.rss,https://post.lurk.org/@rozina
kieranmcguire@hachyderm.io,kieranmcguire,hachyderm.io,https://hachyderm.io/@kieranmcguire.rss,https://hachyderm.io/@kieranmcguire
mrcompletely@heads.social,mrcompletely,heads.social,https://heads.social/@mrcompletely.rss,https://heads.social/@mrcompletely
BootsChantilly@mstdn.social,BootsChantilly,mstdn.social,https://mstdn.social/@BootsChantilly.rss,https://mstdn.social/@BootsChantilly
blogdiva@mastodon.social,blogdiva,mastodon.social,https://mastodon.social/@blogdiva.rss,https://mastodon.social/@blogdiva
whenisbirths@mastodon.social,whenisbirths,mastodon.social,https://mastodon.social/@whenisbirths.rss,https://mastodon.social/@whenisbirths
venitamathias@masto.ai,venitamathias,masto.ai,https://masto.ai/@venitamathias.rss,https://masto.ai/@venitamathias
gneilyo@mastodon.online,gneilyo,mastodon.online,https://mastodon.online/@gneilyo.rss,https://mastodon.online/@gneilyo
IainMoore@toot.community,IainMoore,toot.community,https://toot.community/@IainMoore.rss,https://toot.community/@IainMoore
lazyvar@iosdev.space,lazyvar,iosdev.space,https://iosdev.space/@lazyvar.rss,https://iosdev.space/@lazyvar
plausible@fosstodon.org,plausible,fosstodon.org,https://fosstodon.org/@plausible.rss,https://fosstodon.org/@plausible
hbuchel@hachyderm.io,hbuchel,hachyderm.io,https://hachyderm.io/@hbuchel.rss,https://hachyderm.io/@hbuchel
mharleydev@mastodon.social,mharleydev,mastodon.social,https://mastodon.social/@mharleydev.rss,https://mastodon.social/@mharleydev
Adam_Cadmon1@mastodon.online,Adam_Cadmon1,mastodon.online,https://mastodon.online/@Adam_Cadmon1.rss,https://mastodon.online/@Adam_Cadmon1
abdullah_nimer@mstdn.social,abdullah_nimer,mstdn.social,https://mstdn.social/@abdullah_nimer.rss,https://mstdn.social/@abdullah_nimer
wedistribute@mastodon.social,wedistribute,mastodon.social,https://mastodon.social/@wedistribute.rss,https://mastodon.social/@wedistribute
YPJ_Info@kolektiva.social,YPJ_Info,kolektiva.social,https://kolektiva.social/@YPJ_Info.rss,https://kolektiva.social/@YPJ_Info
mamday@kolektiva.social,mamday,kolektiva.social,https://kolektiva.social/@mamday.rss,https://kolektiva.social/@mamday
WaNaziWatch@kolektiva.social,WaNaziWatch,kolektiva.social,https://kolektiva.social/@WaNaziWatch.rss,https://kolektiva.social/@WaNaziWatch
tylersticka@social.lol,tylersticka,social.lol,https://social.lol/@tylersticka.rss,https://social.lol/@tylersticka
antifaintl@kolektiva.social,antifaintl,kolektiva.social,https://kolektiva.social/@antifaintl.rss,https://kolektiva.social/@antifaintl
hryggrbyr@ibe.social,hryggrbyr,ibe.social,https://ibe.social/@hryggrbyr.rss,https://ibe.social/@hryggrbyr
eevee@queer.party,eevee,queer.party,https://queer.party/@eevee.rss,https://queer.party/@eevee
bauhausmensch@norden.social,bauhausmensch,norden.social,https://norden.social/@bauhausmensch.rss,https://norden.social/@bauhausmensch
popcornreel@mas.to,popcornreel,mas.to,https://mas.to/@popcornreel.rss,https://mas.to/@popcornreel
LadyDragonfly@universeodon.com,LadyDragonfly,universeodon.com,https://universeodon.com/@LadyDragonfly.rss,https://universeodon.com/@LadyDragonfly
AnarchoNinaWrites@oliphant.social,AnarchoNinaWrites,oliphant.social,https://oliphant.social/@AnarchoNinaWrites.rss,https://oliphant.social/@AnarchoNinaWrites
codemonkeymike@fosstodon.org,codemonkeymike,fosstodon.org,https://fosstodon.org/@codemonkeymike.rss,https://fosstodon.org/@codemonkeymike
